SampID,control_YN,Site,Plant_species,Site_lat,Site_long,Site_elevation,Site_invasion_level,Soil_type,Plant_rep_ID,Plant_rep_group,dist_from_vetch_m,Weighted_NODF,NODF,NODFc,Mean_Seed_Mass,Mean_Total_Seeds,Ratio_250_Log,Ind_Nestedness_Contribution,Pollinator_Richness,Pollinator_Abundance,Native_Pollinator_Abundance,Honeybee_Abundance,Bombus_Abundance,Network_Plant_Richness,Site_Plant_Richness,Mean_Floral_Abundance
A_T_5_9,no,Aikawa,Clover,385116.38,1222343.61,2149,Medium,Serptentine,9,4,5,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,5.759864,28,450,164,286,84,26,43,1500.8
A_T_5_10,no,Aikawa,Clover,385116.38,1222343.61,2149,Medium,Serptentine,10,5,5,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,5.759864,28,450,164,286,84,26,43,1500.8
A_T_5_13,no,Aikawa,Clover,385116.38,1222343.61,2149,Medium,Serptentine,13,6,5,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,5.759864,28,450,164,286,84,26,43,1500.8
A_T_10_1,no,Aikawa,Clover,385116.38,1222343.61,2149,Medium,Serptentine,1,1,10,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,5.759864,28,450,164,286,84,26,43,1500.8
A_T_10_3,no,Aikawa,Clover,385116.38,1222343.61,2149,Medium,Serptentine,3,2,10,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,5.759864,28,450,164,286,84,26,43,1500.8
A_T_10_6,no,Aikawa,Clover,385116.38,1222343.61,2149,Medium,Serptentine,6,3,10,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,5.759864,28,450,164,286,84,26,43,1500.8
A_T_10_12,no,Aikawa,Clover,385116.38,1222343.61,2149,Medium,Serptentine,12,4,10,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,5.759864,28,450,164,286,84,26,43,1500.8
A_T_10_15,no,Aikawa,Clover,385116.38,1222343.61,2149,Medium,Serptentine,15,5,10,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,5.759864,28,450,164,286,84,26,43,1500.8
A_T_50_3,no,Aikawa,Clover,385116.38,1222343.61,2149,Medium,Serptentine,3,1,50,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,5.759864,28,450,164,286,84,26,43,1500.8
A_T_50_5,no,Aikawa,Clover,385116.38,1222343.61,2149,Medium,Serptentine,5,2,50,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,5.759864,28,450,164,286,84,26,43,1500.8
A_V_1,no,Aikawa,Vetch,385117.67,1223445.43,2141,Medium,Nonserpentine,1,1,NA,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,3.1467723,16,80,49,31,25,26,43,486.9167
A_V_1_5,no,Aikawa,Vetch,385117.67,1223445.43,2141,Medium,Nonserpentine,5,2,NA,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,3.1467723,16,80,49,31,25,26,43,486.9167
A_V_11,no,Aikawa,Vetch,385117.67,1223445.43,2141,Medium,Nonserpentine,11,3,NA,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,3.1467723,16,80,49,31,25,26,43,486.9167
B_L_6,no,Bertha,Goldfield,385156.88,1222413.12,2150,Low,Serptentine,6,1,NA,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,7.63212714,60,349,348,1,1,21,45,2323.8333
B_L_9,no,Bertha,Goldfield,385156.88,1222413.12,2150,Low,Serptentine,9,2,NA,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,7.63212714,60,349,348,1,1,21,45,2323.8333
B_L_12,no,Bertha,Goldfield,385156.88,1222413.12,2150,Low,Serptentine,12,3,NA,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,7.63212714,60,349,348,1,1,21,45,2323.8333
B_L_14,no,Bertha,Goldfield,385156.88,1222413.12,2150,Low,Serptentine,14,4,NA,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,7.63212714,60,349,348,1,1,21,45,2323.8333
B_T_0_1,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,1,1,0,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_0_6,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,6,2,0,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_0_8,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,8,3,0,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_0_9,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,9,4,0,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_0_13,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,13,5,0,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_1_4,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,4,1,1,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_1_5,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,5,2,1,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_1_6,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,6,3,1,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_1_7,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,7,4,1,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_1_8,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,8,5,1,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_5_1,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,1,1,5,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_5_9,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,9,2,5,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_5_11,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,11,3,5,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_5_12,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,12,4,5,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_10_3,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,3,1,10,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_10_4,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,4,2,10,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_10_8,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,8,3,10,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_10_15,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,15,4,10,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_50_12,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,12,1,50,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_V_8,no,Bertha,Vetch,385154.91,1222415.43,2133,Low,Nonserpentine,8,1,NA,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,-0.7821443,14,58,46,12,25,21,45,369.3333
B_V_11,no,Bertha,Vetch,385154.91,1222415.43,2133,Low,Nonserpentine,11,2,NA,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,-0.7821443,14,58,46,12,25,21,45,369.3333
B_V_12,no,Bertha,Vetch,385154.91,1222415.43,2133,Low,Nonserpentine,12,3,NA,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,-0.7821443,14,58,46,12,25,21,45,369.3333
B_V_13,no,Bertha,Vetch,385154.91,1222415.43,2133,Low,Nonserpentine,13,4,NA,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,-0.7821443,14,58,46,12,25,21,45,369.3333
